maintenance_id,atm_id,maintenance_type,start_time,completion_time,component_replaced,outcome,related_incident_id
MAINT_INC_ATM_0061_20260101092000,ATM_0061,corrective,2026-01-01 09:20:00,2026-01-01 12:05:00,dispenser_mechanism,successful,INC_ATM_0061_20260101092000
MAINT_INC_ATM_0083_20260101114500,ATM_0083,corrective,2026-01-01 11:45:00,2026-01-01 13:40:00,printer_mechanism,successful,INC_ATM_0083_20260101114500
MAINT_INC_ATM_0074_20260101121500,ATM_0074,corrective,2026-01-01 12:15:00,2026-01-01 21:55:00,card_reader,successful,INC_ATM_0074_20260101121500
MAINT_INC_ATM_0018_20260101123500,ATM_0018,corrective,2026-01-01 12:35:00,2026-01-01 16:55:00,printer_mechanism,successful,INC_ATM_0018_20260101123500
MAINT_INC_ATM_0058_20260101131000,ATM_0058,corrective,2026-01-01 13:10:00,2026-01-01 20:20:00,printer_mechanism,successful,INC_ATM_0058_20260101131000
MAINT_INC_ATM_0046_20260101134000,ATM_0046,corrective,2026-01-01 13:40:00,2026-01-01 16:15:00,network_module,successful,INC_ATM_0046_20260101134000
MAINT_INC_ATM_0142_20260101134500,ATM_0142,corrective,2026-01-01 13:45:00,2026-01-01 16:20:00,dispenser_mechanism,successful,INC_ATM_0142_20260101134500
MAINT_INC_ATM_0130_20260101140000,ATM_0130,corrective,2026-01-01 14:00:00,2026-01-01 16:15:00,printer_mechanism,successful,INC_ATM_0130_20260101140000
MAINT_INC_ATM_0006_20260101144000,ATM_0006,corrective,2026-01-01 14:40:00,2026-01-01 18:00:00,software_update,successful,INC_ATM_0006_20260101144000
MAINT_INC_ATM_0166_20260101145000,ATM_0166,corrective,2026-01-01 14:50:00,2026-01-01 18:20:00,software_update,successful,INC_ATM_0166_20260101145000
MAINT_INC_ATM_0089_20260101155500,ATM_0089,corrective,2026-01-01 15:55:00,2026-01-01 18:15:00,dispenser_mechanism,successful,INC_ATM_0089_20260101155500
MAINT_INC_ATM_0095_20260101162500,ATM_0095,corrective,2026-01-01 16:25:00,2026-01-01 18:10:00,printer_mechanism,successful,INC_ATM_0095_20260101162500
MAINT_INC_ATM_0064_20260101164000,ATM_0064,corrective,2026-01-01 16:40:00,2026-01-01 19:05:00,cooling_fan,successful,INC_ATM_0064_20260101164000
MAINT_INC_ATM_0051_20260101165500,ATM_0051,corrective,2026-01-01 16:55:00,2026-01-01 22:50:00,printer_mechanism,successful,INC_ATM_0051_20260101165500
MAINT_INC_ATM_0033_20260101184000,ATM_0033,corrective,2026-01-01 18:40:00,2026-01-01 21:25:00,card_reader,successful,INC_ATM_0033_20260101184000
MAINT_INC_ATM_0082_20260101212500,ATM_0082,corrective,2026-01-01 21:25:00,2026-01-01 23:20:00,card_reader,successful,INC_ATM_0082_20260101212500
MAINT_INC_ATM_0028_20260101221000,ATM_0028,corrective,2026-01-01 22:10:00,2026-01-02 00:40:00,dispenser_mechanism,successful,INC_ATM_0028_20260101221000
MAINT_INC_ATM_0129_20260101222000,ATM_0129,corrective,2026-01-01 22:20:00,2026-01-02 00:25:00,card_reader,successful,INC_ATM_0129_20260101222000
MAINT_INC_ATM_0147_20260101225000,ATM_0147,corrective,2026-01-01 22:50:00,2026-01-02 11:25:00,printer_mechanism,successful,INC_ATM_0147_20260101225000
MAINT_INC_ATM_0160_20260101225000,ATM_0160,corrective,2026-01-01 22:50:00,2026-01-02 00:35:00,printer_mechanism,successful,INC_ATM_0160_20260101225000
MAINT_INC_ATM_0022_20260101231500,ATM_0022,corrective,2026-01-01 23:15:00,2026-01-02 05:40:00,network_module,successful,INC_ATM_0022_20260101231500
MAINT_INC_ATM_0116_20260101231500,ATM_0116,corrective,2026-01-01 23:15:00,2026-01-02 11:25:00,dispenser_mechanism,successful,INC_ATM_0116_20260101231500
MAINT_INC_ATM_0073_20260101234500,ATM_0073,corrective,2026-01-01 23:45:00,2026-01-02 01:05:00,card_reader,successful,INC_ATM_0073_20260101234500
MAINT_INC_ATM_0092_20260102002500,ATM_0092,corrective,2026-01-02 00:25:00,2026-01-02 08:35:00,dispenser_mechanism,successful,INC_ATM_0092_20260102002500
MAINT_INC_ATM_0047_20260102004000,ATM_0047,corrective,2026-01-02 00:40:00,2026-01-02 02:50:00,cooling_fan,successful,INC_ATM_0047_20260102004000
MAINT_INC_ATM_0004_20260102014000,ATM_0004,corrective,2026-01-02 01:40:00,2026-01-02 11:15:00,dispenser_mechanism,successful,INC_ATM_0004_20260102014000
MAINT_INC_ATM_0112_20260102024000,ATM_0112,corrective,2026-01-02 02:40:00,2026-01-02 11:20:00,software_update,successful,INC_ATM_0112_20260102024000
MAINT_INC_ATM_0029_20260102030500,ATM_0029,corrective,2026-01-02 03:05:00,2026-01-02 05:50:00,dispenser_mechanism,successful,INC_ATM_0029_20260102030500
MAINT_INC_ATM_0155_20260102031500,ATM_0155,corrective,2026-01-02 03:15:00,2026-01-02 09:40:00,card_reader,successful,INC_ATM_0155_20260102031500
MAINT_INC_ATM_0030_20260102032000,ATM_0030,corrective,2026-01-02 03:20:00,2026-01-02 09:55:00,printer_mechanism,successful,INC_ATM_0030_20260102032000
MAINT_INC_ATM_0128_20260102032500,ATM_0128,corrective,2026-01-02 03:25:00,2026-01-02 11:25:00,network_module,successful,INC_ATM_0128_20260102032500
MAINT_INC_ATM_0118_20260102033000,ATM_0118,corrective,2026-01-02 03:30:00,2026-01-02 07:55:00,software_update,successful,INC_ATM_0118_20260102033000
MAINT_INC_ATM_0005_20260102040500,ATM_0005,corrective,2026-01-02 04:05:00,2026-01-02 11:30:00,software_update,successful,INC_ATM_0005_20260102040500
MAINT_INC_ATM_0065_20260102043000,ATM_0065,corrective,2026-01-02 04:30:00,2026-01-02 06:30:00,printer_mechanism,successful,INC_ATM_0065_20260102043000
MAINT_INC_ATM_0167_20260102051000,ATM_0167,corrective,2026-01-02 05:10:00,2026-01-02 07:25:00,card_reader,successful,INC_ATM_0167_20260102051000
MAINT_INC_ATM_0156_20260102075000,ATM_0156,corrective,2026-01-02 07:50:00,2026-01-02 15:40:00,dispenser_mechanism,successful,INC_ATM_0156_20260102075000
MAINT_INC_ATM_0054_20260102081500,ATM_0054,corrective,2026-01-02 08:15:00,2026-01-02 15:55:00,power_supply,successful,INC_ATM_0054_20260102081500
MAINT_INC_ATM_0113_20260102095500,ATM_0113,corrective,2026-01-02 09:55:00,2026-01-02 12:30:00,card_reader,successful,INC_ATM_0113_20260102095500
MAINT_INC_ATM_0174_20260102111500,ATM_0174,corrective,2026-01-02 11:15:00,2026-01-02 12:55:00,printer_mechanism,successful,INC_ATM_0174_20260102111500
MAINT_INC_ATM_0104_20260102120500,ATM_0104,corrective,2026-01-02 12:05:00,2026-01-02 17:25:00,dispenser_mechanism,successful,INC_ATM_0104_20260102120500
MAINT_INC_ATM_0010_20260102123000,ATM_0010,corrective,2026-01-02 12:30:00,2026-01-02 19:45:00,hardware_module,successful,INC_ATM_0010_20260102123000
MAINT_INC_ATM_0007_20260102125000,ATM_0007,corrective,2026-01-02 12:50:00,2026-01-02 15:05:00,card_reader,successful,INC_ATM_0007_20260102125000
MAINT_INC_ATM_0112_20260102125500,ATM_0112,corrective,2026-01-02 12:55:00,2026-01-02 14:40:00,hardware_module,successful,INC_ATM_0112_20260102125500
MAINT_INC_ATM_0098_20260102130500,ATM_0098,corrective,2026-01-02 13:05:00,2026-01-02 15:20:00,dispenser_mechanism,successful,INC_ATM_0098_20260102130500
MAINT_INC_ATM_0060_20260102131000,ATM_0060,corrective,2026-01-02 13:10:00,2026-01-02 21:20:00,card_reader,successful,INC_ATM_0060_20260102131000
MAINT_INC_ATM_0037_20260102134500,ATM_0037,corrective,2026-01-02 13:45:00,2026-01-02 16:10:00,dispenser_mechanism,successful,INC_ATM_0037_20260102134500
MAINT_INC_ATM_0046_20260102142000,ATM_0046,corrective,2026-01-02 14:20:00,2026-01-03 02:20:00,printer_mechanism,successful,INC_ATM_0046_20260102142000
MAINT_INC_ATM_0165_20260102142000,ATM_0165,corrective,2026-01-02 14:20:00,2026-01-03 00:20:00,card_reader,successful,INC_ATM_0165_20260102142000
MAINT_INC_ATM_0083_20260102160000,ATM_0083,corrective,2026-01-02 16:00:00,2026-01-02 18:00:00,power_supply,successful,INC_ATM_0083_20260102160000
MAINT_INC_ATM_0121_20260102163000,ATM_0121,corrective,2026-01-02 16:30:00,2026-01-03 02:25:00,card_reader,successful,INC_ATM_0121_20260102163000
MAINT_INC_ATM_0116_20260102170000,ATM_0116,corrective,2026-01-02 17:00:00,2026-01-02 19:45:00,software_update,successful,INC_ATM_0116_20260102170000
MAINT_INC_ATM_0013_20260102174500,ATM_0013,corrective,2026-01-02 17:45:00,2026-01-02 23:55:00,hardware_module,successful,INC_ATM_0013_20260102174500
MAINT_INC_ATM_0139_20260102175500,ATM_0139,corrective,2026-01-02 17:55:00,2026-01-02 20:00:00,software_update,successful,INC_ATM_0139_20260102175500
MAINT_INC_ATM_0061_20260102180500,ATM_0061,corrective,2026-01-02 18:05:00,2026-01-02 20:25:00,hardware_module,successful,INC_ATM_0061_20260102180500
MAINT_INC_ATM_0029_20260102183000,ATM_0029,corrective,2026-01-02 18:30:00,2026-01-02 20:40:00,network_module,successful,INC_ATM_0029_20260102183000
MAINT_INC_ATM_0045_20260102194000,ATM_0045,corrective,2026-01-02 19:40:00,2026-01-02 22:25:00,power_supply,successful,INC_ATM_0045_20260102194000
MAINT_INC_ATM_0155_20260102203000,ATM_0155,corrective,2026-01-02 20:30:00,2026-01-02 23:30:00,card_reader,successful,INC_ATM_0155_20260102203000
MAINT_INC_ATM_0082_20260102221000,ATM_0082,corrective,2026-01-02 22:10:00,2026-01-03 04:20:00,card_reader,successful,INC_ATM_0082_20260102221000
MAINT_INC_ATM_0035_20260102222000,ATM_0035,corrective,2026-01-02 22:20:00,2026-01-03 00:15:00,cooling_fan,successful,INC_ATM_0035_20260102222000
MAINT_INC_ATM_0014_20260102223000,ATM_0014,corrective,2026-01-02 22:30:00,2026-01-03 07:40:00,software_update,successful,INC_ATM_0014_20260102223000
MAINT_INC_ATM_0150_20260102224000,ATM_0150,corrective,2026-01-02 22:40:00,2026-01-03 00:45:00,network_module,successful,INC_ATM_0150_20260102224000
MAINT_INC_ATM_0058_20260102231000,ATM_0058,corrective,2026-01-02 23:10:00,2026-01-03 09:00:00,software_update,successful,INC_ATM_0058_20260102231000
MAINT_INC_ATM_0110_20260102233000,ATM_0110,corrective,2026-01-02 23:30:00,2026-01-03 06:20:00,card_reader,successful,INC_ATM_0110_20260102233000
MAINT_INC_ATM_0151_20260103004500,ATM_0151,corrective,2026-01-03 00:45:00,2026-01-03 02:35:00,printer_mechanism,successful,INC_ATM_0151_20260103004500
MAINT_INC_ATM_0080_20260103012500,ATM_0080,corrective,2026-01-03 01:25:00,2026-01-03 03:25:00,software_update,successful,INC_ATM_0080_20260103012500
MAINT_INC_ATM_0092_20260103021500,ATM_0092,corrective,2026-01-03 02:15:00,2026-01-03 04:30:00,power_supply,successful,INC_ATM_0092_20260103021500
MAINT_INC_ATM_0128_20260103024000,ATM_0128,corrective,2026-01-03 02:40:00,2026-01-03 04:20:00,cooling_fan,successful,INC_ATM_0128_20260103024000
MAINT_INC_ATM_0162_20260103025500,ATM_0162,corrective,2026-01-03 02:55:00,2026-01-03 05:40:00,network_module,successful,INC_ATM_0162_20260103025500
MAINT_INC_ATM_0032_20260103032500,ATM_0032,corrective,2026-01-03 03:25:00,2026-01-03 11:40:00,dispenser_mechanism,successful,INC_ATM_0032_20260103032500
MAINT_INC_ATM_0171_20260103041000,ATM_0171,corrective,2026-01-03 04:10:00,2026-01-03 05:50:00,card_reader,successful,INC_ATM_0171_20260103041000
MAINT_INC_ATM_0043_20260103041500,ATM_0043,corrective,2026-01-03 04:15:00,2026-01-03 06:00:00,hardware_module,successful,INC_ATM_0043_20260103041500
MAINT_INC_ATM_0034_20260103043000,ATM_0034,corrective,2026-01-03 04:30:00,2026-01-03 10:55:00,printer_mechanism,successful,INC_ATM_0034_20260103043000
MAINT_INC_ATM_0131_20260103043000,ATM_0131,corrective,2026-01-03 04:30:00,2026-01-03 10:35:00,dispenser_mechanism,successful,INC_ATM_0131_20260103043000
MAINT_INC_ATM_0141_20260103053500,ATM_0141,corrective,2026-01-03 05:35:00,2026-01-03 07:50:00,dispenser_mechanism,successful,INC_ATM_0141_20260103053500
MAINT_INC_ATM_0083_20260103064000,ATM_0083,corrective,2026-01-03 06:40:00,2026-01-03 09:05:00,card_reader,successful,INC_ATM_0083_20260103064000
MAINT_INC_ATM_0037_20260103071000,ATM_0037,corrective,2026-01-03 07:10:00,2026-01-03 08:30:00,dispenser_mechanism,successful,INC_ATM_0037_20260103071000
MAINT_INC_ATM_0164_20260103080000,ATM_0164,corrective,2026-01-03 08:00:00,2026-01-03 09:05:00,printer_mechanism,successful,INC_ATM_0164_20260103080000
MAINT_INC_ATM_0134_20260103082000,ATM_0134,corrective,2026-01-03 08:20:00,2026-01-03 10:50:00,dispenser_mechanism,successful,INC_ATM_0134_20260103082000
MAINT_INC_ATM_0046_20260103083500,ATM_0046,corrective,2026-01-03 08:35:00,2026-01-03 11:30:00,software_update,successful,INC_ATM_0046_20260103083500
MAINT_INC_ATM_0096_20260103092000,ATM_0096,corrective,2026-01-03 09:20:00,2026-01-03 12:50:00,power_supply,successful,INC_ATM_0096_20260103092000
MAINT_INC_ATM_0016_20260103095500,ATM_0016,corrective,2026-01-03 09:55:00,2026-01-03 12:10:00,network_module,successful,INC_ATM_0016_20260103095500
MAINT_INC_ATM_0130_20260103102500,ATM_0130,corrective,2026-01-03 10:25:00,2026-01-03 12:55:00,printer_mechanism,successful,INC_ATM_0130_20260103102500
MAINT_INC_ATM_0076_20260103103000,ATM_0076,corrective,2026-01-03 10:30:00,2026-01-03 13:35:00,printer_mechanism,successful,INC_ATM_0076_20260103103000
MAINT_INC_ATM_0115_20260103110000,ATM_0115,corrective,2026-01-03 11:00:00,2026-01-03 13:40:00,dispenser_mechanism,successful,INC_ATM_0115_20260103110000
MAINT_INC_ATM_0123_20260103115000,ATM_0123,corrective,2026-01-03 11:50:00,2026-01-03 13:15:00,card_reader,successful,INC_ATM_0123_20260103115000
MAINT_INC_ATM_0165_20260103123000,ATM_0165,corrective,2026-01-03 12:30:00,2026-01-03 14:50:00,hardware_module,successful,INC_ATM_0165_20260103123000
MAINT_INC_ATM_0086_20260103131500,ATM_0086,corrective,2026-01-03 13:15:00,2026-01-03 14:40:00,dispenser_mechanism,successful,INC_ATM_0086_20260103131500
MAINT_INC_ATM_0130_20260103142500,ATM_0130,corrective,2026-01-03 14:25:00,2026-01-03 15:55:00,network_module,successful,INC_ATM_0130_20260103142500
MAINT_INC_ATM_0062_20260103145000,ATM_0062,corrective,2026-01-03 14:50:00,2026-01-03 16:30:00,printer_mechanism,successful,INC_ATM_0062_20260103145000
MAINT_INC_ATM_0057_20260103145500,ATM_0057,corrective,2026-01-03 14:55:00,2026-01-03 21:00:00,dispenser_mechanism,successful,INC_ATM_0057_20260103145500
MAINT_INC_ATM_0018_20260103162000,ATM_0018,corrective,2026-01-03 16:20:00,2026-01-03 19:00:00,network_module,successful,INC_ATM_0018_20260103162000
MAINT_INC_ATM_0153_20260103172000,ATM_0153,corrective,2026-01-03 17:20:00,2026-01-03 19:10:00,hardware_module,successful,INC_ATM_0153_20260103172000
MAINT_INC_ATM_0078_20260103192500,ATM_0078,corrective,2026-01-03 19:25:00,2026-01-03 22:35:00,card_reader,successful,INC_ATM_0078_20260103192500
MAINT_INC_ATM_0125_20260103192500,ATM_0125,corrective,2026-01-03 19:25:00,2026-01-03 21:25:00,printer_mechanism,successful,INC_ATM_0125_20260103192500
MAINT_INC_ATM_0044_20260103193000,ATM_0044,corrective,2026-01-03 19:30:00,2026-01-03 21:10:00,printer_mechanism,successful,INC_ATM_0044_20260103193000
MAINT_INC_ATM_0114_20260103201500,ATM_0114,corrective,2026-01-03 20:15:00,2026-01-03 22:55:00,network_module,successful,INC_ATM_0114_20260103201500
MAINT_INC_ATM_0025_20260103213000,ATM_0025,corrective,2026-01-03 21:30:00,2026-01-04 00:35:00,dispenser_mechanism,successful,INC_ATM_0025_20260103213000
MAINT_INC_ATM_0159_20260103214000,ATM_0159,corrective,2026-01-03 21:40:00,2026-01-04 00:30:00,printer_mechanism,successful,INC_ATM_0159_20260103214000
MAINT_INC_ATM_0010_20260103220500,ATM_0010,corrective,2026-01-03 22:05:00,2026-01-03 23:50:00,software_update,successful,INC_ATM_0010_20260103220500
MAINT_INC_ATM_0040_20260103221500,ATM_0040,corrective,2026-01-03 22:15:00,2026-01-04 01:15:00,printer_mechanism,successful,INC_ATM_0040_20260103221500
MAINT_INC_ATM_0061_20260103221500,ATM_0061,corrective,2026-01-03 22:15:00,2026-01-04 00:10:00,dispenser_mechanism,successful,INC_ATM_0061_20260103221500
MAINT_INC_ATM_0080_20260103223000,ATM_0080,corrective,2026-01-03 22:30:00,2026-01-04 00:40:00,printer_mechanism,successful,INC_ATM_0080_20260103223000
MAINT_INC_ATM_0063_20260103225000,ATM_0063,corrective,2026-01-03 22:50:00,2026-01-04 05:00:00,dispenser_mechanism,successful,INC_ATM_0063_20260103225000
MAINT_INC_ATM_0031_20260104001000,ATM_0031,corrective,2026-01-04 00:10:00,2026-01-04 02:45:00,power_supply,successful,INC_ATM_0031_20260104001000
MAINT_INC_ATM_0047_20260104001000,ATM_0047,corrective,2026-01-04 00:10:00,2026-01-04 11:00:00,power_supply,successful,INC_ATM_0047_20260104001000
MAINT_INC_ATM_0155_20260104003000,ATM_0155,corrective,2026-01-04 00:30:00,2026-01-04 02:55:00,printer_mechanism,successful,INC_ATM_0155_20260104003000
MAINT_INC_ATM_0134_20260104012500,ATM_0134,corrective,2026-01-04 01:25:00,2026-01-04 04:45:00,card_reader,successful,INC_ATM_0134_20260104012500
MAINT_INC_ATM_0167_20260104013000,ATM_0167,corrective,2026-01-04 01:30:00,2026-01-04 04:00:00,network_module,successful,INC_ATM_0167_20260104013000
MAINT_INC_ATM_0038_20260104013500,ATM_0038,corrective,2026-01-04 01:35:00,2026-01-04 03:55:00,dispenser_mechanism,successful,INC_ATM_0038_20260104013500
MAINT_INC_ATM_0124_20260104015000,ATM_0124,corrective,2026-01-04 01:50:00,2026-01-04 03:35:00,card_reader,successful,INC_ATM_0124_20260104015000
MAINT_INC_ATM_0171_20260104050000,ATM_0171,corrective,2026-01-04 05:00:00,2026-01-04 07:30:00,software_update,successful,INC_ATM_0171_20260104050000
MAINT_INC_ATM_0023_20260104054000,ATM_0023,corrective,2026-01-04 05:40:00,2026-01-04 07:35:00,cooling_fan,successful,INC_ATM_0023_20260104054000
MAINT_INC_ATM_0141_20260104054500,ATM_0141,corrective,2026-01-04 05:45:00,2026-01-04 13:45:00,dispenser_mechanism,successful,INC_ATM_0141_20260104054500
MAINT_INC_ATM_0172_20260104080000,ATM_0172,corrective,2026-01-04 08:00:00,2026-01-04 09:45:00,printer_mechanism,successful,INC_ATM_0172_20260104080000
MAINT_INC_ATM_0004_20260104080500,ATM_0004,corrective,2026-01-04 08:05:00,2026-01-04 10:00:00,printer_mechanism,successful,INC_ATM_0004_20260104080500
MAINT_INC_ATM_0085_20260104083000,ATM_0085,corrective,2026-01-04 08:30:00,2026-01-04 15:20:00,dispenser_mechanism,successful,INC_ATM_0085_20260104083000
MAINT_INC_ATM_0096_20260104090000,ATM_0096,corrective,2026-01-04 09:00:00,2026-01-04 11:40:00,network_module,successful,INC_ATM_0096_20260104090000
MAINT_INC_ATM_0104_20260104094000,ATM_0104,corrective,2026-01-04 09:40:00,2026-01-04 20:45:00,hardware_module,successful,INC_ATM_0104_20260104094000
MAINT_INC_ATM_0155_20260104094500,ATM_0155,corrective,2026-01-04 09:45:00,2026-01-04 19:55:00,dispenser_mechanism,successful,INC_ATM_0155_20260104094500
MAINT_INC_ATM_0125_20260104095500,ATM_0125,corrective,2026-01-04 09:55:00,2026-01-04 12:40:00,cooling_fan,successful,INC_ATM_0125_20260104095500
MAINT_INC_ATM_0123_20260104103500,ATM_0123,corrective,2026-01-04 10:35:00,2026-01-04 13:05:00,dispenser_mechanism,successful,INC_ATM_0123_20260104103500
MAINT_INC_ATM_0021_20260104110000,ATM_0021,corrective,2026-01-04 11:00:00,2026-01-04 13:40:00,network_module,successful,INC_ATM_0021_20260104110000
MAINT_INC_ATM_0109_20260104110500,ATM_0109,corrective,2026-01-04 11:05:00,2026-01-04 13:50:00,cooling_fan,successful,INC_ATM_0109_20260104110500
MAINT_INC_ATM_0039_20260104112000,ATM_0039,corrective,2026-01-04 11:20:00,2026-01-04 13:10:00,cooling_fan,successful,INC_ATM_0039_20260104112000
MAINT_INC_ATM_0082_20260104112500,ATM_0082,corrective,2026-01-04 11:25:00,2026-01-04 23:15:00,dispenser_mechanism,successful,INC_ATM_0082_20260104112500
MAINT_INC_ATM_0161_20260104120000,ATM_0161,corrective,2026-01-04 12:00:00,2026-01-04 21:50:00,dispenser_mechanism,successful,INC_ATM_0161_20260104120000
MAINT_INC_ATM_0147_20260104130500,ATM_0147,corrective,2026-01-04 13:05:00,2026-01-04 15:05:00,dispenser_mechanism,successful,INC_ATM_0147_20260104130500
MAINT_INC_ATM_0059_20260104134000,ATM_0059,corrective,2026-01-04 13:40:00,2026-01-04 20:25:00,printer_mechanism,successful,INC_ATM_0059_20260104134000
MAINT_INC_ATM_0005_20260104141000,ATM_0005,corrective,2026-01-04 14:10:00,2026-01-05 02:40:00,card_reader,successful,INC_ATM_0005_20260104141000
MAINT_INC_ATM_0058_20260104150000,ATM_0058,corrective,2026-01-04 15:00:00,2026-01-04 18:30:00,cooling_fan,successful,INC_ATM_0058_20260104150000
MAINT_INC_ATM_0156_20260104152500,ATM_0156,corrective,2026-01-04 15:25:00,2026-01-04 17:25:00,dispenser_mechanism,successful,INC_ATM_0156_20260104152500
MAINT_INC_ATM_0057_20260104164000,ATM_0057,corrective,2026-01-04 16:40:00,2026-01-05 00:10:00,software_update,successful,INC_ATM_0057_20260104164000
MAINT_INC_ATM_0042_20260104164500,ATM_0042,corrective,2026-01-04 16:45:00,2026-01-04 19:25:00,dispenser_mechanism,successful,INC_ATM_0042_20260104164500
MAINT_INC_ATM_0054_20260104184000,ATM_0054,corrective,2026-01-04 18:40:00,2026-01-04 23:40:00,printer_mechanism,successful,INC_ATM_0054_20260104184000
MAINT_INC_ATM_0140_20260104184500,ATM_0140,corrective,2026-01-04 18:45:00,2026-01-04 20:00:00,cooling_fan,successful,INC_ATM_0140_20260104184500
MAINT_INC_ATM_0007_20260104190000,ATM_0007,corrective,2026-01-04 19:00:00,2026-01-04 21:45:00,network_module,successful,INC_ATM_0007_20260104190000
MAINT_INC_ATM_0021_20260104201000,ATM_0021,corrective,2026-01-04 20:10:00,2026-01-04 23:50:00,dispenser_mechanism,successful,INC_ATM_0021_20260104201000
MAINT_INC_ATM_0096_20260104203000,ATM_0096,corrective,2026-01-04 20:30:00,2026-01-04 22:20:00,software_update,successful,INC_ATM_0096_20260104203000
MAINT_INC_ATM_0107_20260104204500,ATM_0107,corrective,2026-01-04 20:45:00,2026-01-05 07:10:00,printer_mechanism,successful,INC_ATM_0107_20260104204500
MAINT_INC_ATM_0132_20260104214500,ATM_0132,corrective,2026-01-04 21:45:00,2026-01-05 00:35:00,printer_mechanism,successful,INC_ATM_0132_20260104214500
MAINT_INC_ATM_0079_20260104224000,ATM_0079,corrective,2026-01-04 22:40:00,2026-01-05 01:25:00,power_supply,successful,INC_ATM_0079_20260104224000
MAINT_INC_ATM_0067_20260104225000,ATM_0067,corrective,2026-01-04 22:50:00,2026-01-05 01:25:00,card_reader,successful,INC_ATM_0067_20260104225000
MAINT_INC_ATM_0093_20260105001500,ATM_0093,corrective,2026-01-05 00:15:00,2026-01-05 03:00:00,network_module,successful,INC_ATM_0093_20260105001500
MAINT_INC_ATM_0158_20260105001500,ATM_0158,corrective,2026-01-05 00:15:00,2026-01-05 03:10:00,dispenser_mechanism,successful,INC_ATM_0158_20260105001500
MAINT_INC_ATM_0113_20260105020500,ATM_0113,corrective,2026-01-05 02:05:00,2026-01-05 04:55:00,software_update,successful,INC_ATM_0113_20260105020500
MAINT_INC_ATM_0037_20260105024000,ATM_0037,corrective,2026-01-05 02:40:00,2026-01-05 12:55:00,card_reader,successful,INC_ATM_0037_20260105024000
MAINT_INC_ATM_0028_20260105025000,ATM_0028,corrective,2026-01-05 02:50:00,2026-01-05 09:20:00,software_update,successful,INC_ATM_0028_20260105025000
MAINT_INC_ATM_0084_20260105030500,ATM_0084,corrective,2026-01-05 03:05:00,2026-01-05 11:55:00,power_supply,successful,INC_ATM_0084_20260105030500
MAINT_INC_ATM_0002_20260105040500,ATM_0002,corrective,2026-01-05 04:05:00,2026-01-05 07:05:00,power_supply,successful,INC_ATM_0002_20260105040500
MAINT_INC_ATM_0033_20260105060500,ATM_0033,corrective,2026-01-05 06:05:00,2026-01-05 07:35:00,cooling_fan,successful,INC_ATM_0033_20260105060500
