incident_id,atm_id,failure_type,failure_subtype,start_time,end_time,severity,maintenance_level,repair_duration_hours,root_cause,was_sudden
INC_ATM_0118_20260102033000,ATM_0118,software,driver_failure,2026-01-02 03:30:00,2026-01-02 07:55:00,low,SLM,4.137507622910064,Software exception,False
INC_ATM_0005_20260102040500,ATM_0005,software,driver_failure,2026-01-02 04:05:00,2026-01-02 11:30:00,low,SLM,7.072432162815522,Software exception,False
INC_ATM_0065_20260102043000,ATM_0065,printer,paper_jam,2026-01-02 04:30:00,2026-01-02 06:30:00,critical,FLM,1.6197202555933585,Printer mechanism failure,False
INC_ATM_0167_20260102051000,ATM_0167,card_reader,card_jam,2026-01-02 05:10:00,2026-01-02 07:25:00,low,FLM,1.9539399979179517,Card reader sensor malfunction,False
INC_ATM_0156_20260102075000,ATM_0156,dispenser,transport_error,2026-01-02 07:50:00,2026-01-02 15:40:00,medium,SLM,7.346336904459623,Mechanical wear in dispenser,False
INC_ATM_0054_20260102081500,ATM_0054,power,ups_failure,2026-01-02 08:15:00,2026-01-02 15:55:00,low,SLM,7.369351566104662,Power supply instability,False
INC_ATM_0113_20260102095500,ATM_0113,card_reader,card_jam,2026-01-02 09:55:00,2026-01-02 12:30:00,medium,FLM,2.3572282415952777,Card reader sensor malfunction,False
INC_ATM_0174_20260102111500,ATM_0174,printer,paper_jam,2026-01-02 11:15:00,2026-01-02 12:55:00,medium,FLM,1.3007521421267383,Printer mechanism failure,False
INC_ATM_0104_20260102120500,ATM_0104,dispenser,jam,2026-01-02 12:05:00,2026-01-02 17:25:00,high,SLM,4.940006893494775,Mechanical wear in dispenser,False
INC_ATM_0010_20260102123000,ATM_0010,hardware,memory_error,2026-01-02 12:30:00,2026-01-02 19:45:00,medium,SLM,7.0064279017132955,Hardware component failure,False
INC_ATM_0007_20260102125000,ATM_0007,card_reader,read_error,2026-01-02 12:50:00,2026-01-02 15:05:00,medium,FLM,1.8834895052779896,Card reader sensor malfunction,False
INC_ATM_0112_20260102125500,ATM_0112,hardware,memory_error,2026-01-02 12:55:00,2026-01-02 14:40:00,medium,FLM,1.5099869988596353,Hardware component failure,False
INC_ATM_0098_20260102130500,ATM_0098,dispenser,motor_failure,2026-01-02 13:05:00,2026-01-02 15:20:00,low,FLM,1.791000026275135,Mechanical wear in dispenser,False
INC_ATM_0060_20260102131000,ATM_0060,card_reader,card_jam,2026-01-02 13:10:00,2026-01-02 21:20:00,high,SLM,7.911782271627485,Card reader sensor malfunction,False
INC_ATM_0037_20260102134500,ATM_0037,dispenser,transport_error,2026-01-02 13:45:00,2026-01-02 16:10:00,low,FLM,2.1559688995077817,Mechanical wear in dispenser,False
INC_ATM_0046_20260102142000,ATM_0046,printer,print_head_failure,2026-01-02 14:20:00,2026-01-03 02:20:00,low,SLM,11.70495771630554,Printer mechanism failure,False
INC_ATM_0165_20260102142000,ATM_0165,card_reader,card_jam,2026-01-02 14:20:00,2026-01-03 00:20:00,high,SLM,9.69638908971904,Card reader sensor malfunction,False
INC_ATM_0083_20260102160000,ATM_0083,power,power_supply_failure,2026-01-02 16:00:00,2026-01-02 18:00:00,medium,FLM,1.714270329987235,Power supply instability,False
INC_ATM_0121_20260102163000,ATM_0121,card_reader,card_jam,2026-01-02 16:30:00,2026-01-03 02:25:00,medium,SLM,9.706439076568417,Card reader sensor malfunction,False
INC_ATM_0116_20260102170000,ATM_0116,software,driver_failure,2026-01-02 17:00:00,2026-01-02 19:45:00,low,FLM,2.5273824186220213,Software exception,False
INC_ATM_0013_20260102174500,ATM_0013,hardware,memory_error,2026-01-02 17:45:00,2026-01-02 23:55:00,medium,SLM,5.702323867435243,Hardware component failure,False
INC_ATM_0139_20260102175500,ATM_0139,software,application_crash,2026-01-02 17:55:00,2026-01-02 20:00:00,medium,FLM,1.6438257258437847,Software exception,False
INC_ATM_0061_20260102180500,ATM_0061,hardware,disk_failure,2026-01-02 18:05:00,2026-01-02 20:25:00,medium,FLM,2.161433788632878,Hardware component failure,False
INC_ATM_0029_20260102183000,ATM_0029,network,dns_failure,2026-01-02 18:30:00,2026-01-02 20:40:00,medium,FLM,1.8305696525007702,Network connectivity issue,False
INC_ATM_0045_20260102194000,ATM_0045,power,power_supply_failure,2026-01-02 19:40:00,2026-01-02 22:25:00,low,FLM,2.2793938157787883,Power supply instability,False
INC_ATM_0155_20260102203000,ATM_0155,card_reader,card_jam,2026-01-02 20:30:00,2026-01-02 23:30:00,medium,FLM,2.5294460926660585,Card reader sensor malfunction,False
INC_ATM_0082_20260102221000,ATM_0082,card_reader,card_jam,2026-01-02 22:10:00,2026-01-03 04:20:00,high,SLM,5.8304624574938355,Card reader sensor malfunction,False
INC_ATM_0035_20260102222000,ATM_0035,thermal,cooling_system_failure,2026-01-02 22:20:00,2026-01-03 00:15:00,medium,FLM,1.3792247509795037,Thermal management failure,False
INC_ATM_0014_20260102223000,ATM_0014,software,application_crash,2026-01-02 22:30:00,2026-01-03 07:40:00,high,SLM,8.721121289476088,Software exception,False
INC_ATM_0150_20260102224000,ATM_0150,network,dns_failure,2026-01-02 22:40:00,2026-01-03 00:45:00,medium,FLM,1.7987083503992114,Network connectivity issue,False
INC_ATM_0058_20260102231000,ATM_0058,software,driver_failure,2026-01-02 23:10:00,2026-01-03 09:00:00,medium,SLM,9.663436947763035,Software exception,True
INC_ATM_0110_20260102233000,ATM_0110,card_reader,card_jam,2026-01-02 23:30:00,2026-01-03 06:20:00,low,SLM,6.546859511991114,Card reader sensor malfunction,False
INC_ATM_0151_20260103004500,ATM_0151,printer,paper_jam,2026-01-03 00:45:00,2026-01-03 02:35:00,low,FLM,1.581568446792056,Printer mechanism failure,False
INC_ATM_0080_20260103012500,ATM_0080,software,os_error,2026-01-03 01:25:00,2026-01-03 03:25:00,low,FLM,1.802467850673409,Software exception,False
INC_ATM_0092_20260103021500,ATM_0092,power,power_supply_failure,2026-01-03 02:15:00,2026-01-03 04:30:00,low,FLM,1.9188924330498338,Power supply instability,False
INC_ATM_0128_20260103024000,ATM_0128,thermal,overheating,2026-01-03 02:40:00,2026-01-03 04:20:00,medium,FLM,1.2026916945639696,Thermal management failure,False
INC_ATM_0162_20260103025500,ATM_0162,network,timeout,2026-01-03 02:55:00,2026-01-03 05:40:00,high,FLM,2.2514159913793153,Network connectivity issue,False
INC_ATM_0032_20260103032500,ATM_0032,dispenser,pick_failure,2026-01-03 03:25:00,2026-01-03 11:40:00,critical,SLM,7.891071065258166,Mechanical wear in dispenser,False
INC_ATM_0171_20260103041000,ATM_0171,card_reader,card_jam,2026-01-03 04:10:00,2026-01-03 05:50:00,medium,FLM,1.4021176399327464,Card reader sensor malfunction,False
INC_ATM_0043_20260103041500,ATM_0043,hardware,controller_failure,2026-01-03 04:15:00,2026-01-03 06:00:00,low,FLM,1.4366314335847812,Hardware component failure,False
INC_ATM_0034_20260103043000,ATM_0034,printer,paper_jam,2026-01-03 04:30:00,2026-01-03 10:55:00,high,SLM,6.0841892641999,Printer mechanism failure,False
INC_ATM_0131_20260103043000,ATM_0131,dispenser,pick_failure,2026-01-03 04:30:00,2026-01-03 10:35:00,low,SLM,5.736647901112894,Mechanical wear in dispenser,False
INC_ATM_0141_20260103053500,ATM_0141,dispenser,motor_failure,2026-01-03 05:35:00,2026-01-03 07:50:00,critical,FLM,1.8335678785245806,Mechanical wear in dispenser,False
INC_ATM_0083_20260103064000,ATM_0083,card_reader,reader_malfunction,2026-01-03 06:40:00,2026-01-03 09:05:00,low,FLM,2.0696597084977926,Card reader sensor malfunction,False
INC_ATM_0037_20260103071000,ATM_0037,dispenser,transport_error,2026-01-03 07:10:00,2026-01-03 08:30:00,low,FLM,1.146502523900006,Mechanical wear in dispenser,False
INC_ATM_0164_20260103080000,ATM_0164,printer,print_head_failure,2026-01-03 08:00:00,2026-01-03 09:05:00,high,FLM,0.8261181817308312,Printer mechanism failure,False
INC_ATM_0134_20260103082000,ATM_0134,dispenser,transport_error,2026-01-03 08:20:00,2026-01-03 10:50:00,medium,FLM,2.221682458559335,Mechanical wear in dispenser,False
INC_ATM_0046_20260103083500,ATM_0046,software,os_error,2026-01-03 08:35:00,2026-01-03 11:30:00,critical,FLM,2.5465107650020813,Software exception,False
INC_ATM_0096_20260103092000,ATM_0096,power,power_supply_failure,2026-01-03 09:20:00,2026-01-03 12:50:00,low,FLM,3.173874105329486,Power supply instability,True
INC_ATM_0016_20260103095500,ATM_0016,network,connectivity_loss,2026-01-03 09:55:00,2026-01-03 12:10:00,medium,FLM,1.8255798082276458,Network connectivity issue,False
INC_ATM_0130_20260103102500,ATM_0130,printer,paper_jam,2026-01-03 10:25:00,2026-01-03 12:55:00,high,FLM,2.147631915629784,Printer mechanism failure,False
INC_ATM_0076_20260103103000,ATM_0076,printer,print_head_failure,2026-01-03 10:30:00,2026-01-03 13:35:00,medium,FLM,2.6638794116062003,Printer mechanism failure,False
INC_ATM_0115_20260103110000,ATM_0115,dispenser,transport_error,2026-01-03 11:00:00,2026-01-03 13:40:00,critical,FLM,2.290011014802691,Mechanical wear in dispenser,False
INC_ATM_0123_20260103115000,ATM_0123,card_reader,reader_malfunction,2026-01-03 11:50:00,2026-01-03 13:15:00,medium,FLM,1.1975793086747688,Card reader sensor malfunction,False
INC_ATM_0165_20260103123000,ATM_0165,hardware,disk_failure,2026-01-03 12:30:00,2026-01-03 14:50:00,high,FLM,2.1205668561394218,Hardware component failure,False
INC_ATM_0086_20260103131500,ATM_0086,dispenser,jam,2026-01-03 13:15:00,2026-01-03 14:40:00,critical,FLM,1.2099634557123244,Mechanical wear in dispenser,False
INC_ATM_0130_20260103142500,ATM_0130,network,switch_failure,2026-01-03 14:25:00,2026-01-03 15:55:00,critical,FLM,1.2224126154405415,Network connectivity issue,False
INC_ATM_0062_20260103145000,ATM_0062,printer,cutter_failure,2026-01-03 14:50:00,2026-01-03 16:30:00,critical,FLM,1.4318739989312017,Printer mechanism failure,False
INC_ATM_0057_20260103145500,ATM_0057,dispenser,jam,2026-01-03 14:55:00,2026-01-03 21:00:00,low,SLM,5.863147497595688,Mechanical wear in dispenser,False
INC_ATM_0018_20260103162000,ATM_0018,network,timeout,2026-01-03 16:20:00,2026-01-03 19:00:00,high,FLM,2.4358739304079653,Network connectivity issue,False
INC_ATM_0153_20260103172000,ATM_0153,hardware,disk_failure,2026-01-03 17:20:00,2026-01-03 19:10:00,medium,FLM,1.257017609062312,Hardware component failure,False
INC_ATM_0078_20260103192500,ATM_0078,card_reader,reader_malfunction,2026-01-03 19:25:00,2026-01-03 22:35:00,medium,FLM,2.9262186994355193,Card reader sensor malfunction,False
INC_ATM_0125_20260103192500,ATM_0125,printer,paper_jam,2026-01-03 19:25:00,2026-01-03 21:25:00,medium,FLM,1.7338506351543557,Printer mechanism failure,False
INC_ATM_0044_20260103193000,ATM_0044,printer,paper_jam,2026-01-03 19:30:00,2026-01-03 21:10:00,medium,FLM,1.3741630491563763,Printer mechanism failure,False
INC_ATM_0114_20260103201500,ATM_0114,network,switch_failure,2026-01-03 20:15:00,2026-01-03 22:55:00,critical,FLM,2.3078450958762784,Network connectivity issue,False
INC_ATM_0025_20260103213000,ATM_0025,dispenser,jam,2026-01-03 21:30:00,2026-01-04 00:35:00,low,FLM,2.615815167011715,Mechanical wear in dispenser,False
INC_ATM_0159_20260103214000,ATM_0159,printer,cutter_failure,2026-01-03 21:40:00,2026-01-04 00:30:00,medium,FLM,2.531968758429414,Printer mechanism failure,False
INC_ATM_0010_20260103220500,ATM_0010,software,application_crash,2026-01-03 22:05:00,2026-01-03 23:50:00,medium,FLM,1.399606101402586,Software exception,False
INC_ATM_0040_20260103221500,ATM_0040,printer,paper_jam,2026-01-03 22:15:00,2026-01-04 01:15:00,high,FLM,2.5698151393970505,Printer mechanism failure,False
INC_ATM_0061_20260103221500,ATM_0061,dispenser,jam,2026-01-03 22:15:00,2026-01-04 00:10:00,medium,FLM,1.5967431261375125,Mechanical wear in dispenser,False
INC_ATM_0080_20260103223000,ATM_0080,printer,print_head_failure,2026-01-03 22:30:00,2026-01-04 00:40:00,medium,FLM,1.673527750484872,Printer mechanism failure,False
INC_ATM_0063_20260103225000,ATM_0063,dispenser,jam,2026-01-03 22:50:00,2026-01-04 05:00:00,high,SLM,5.764940327451956,Mechanical wear in dispenser,False
INC_ATM_0031_20260104001000,ATM_0031,power,power_outage,2026-01-04 00:10:00,2026-01-04 02:45:00,medium,FLM,2.1121851766151387,Power supply instability,False
INC_ATM_0047_20260104001000,ATM_0047,power,power_supply_failure,2026-01-04 00:10:00,2026-01-04 11:00:00,high,SLM,10.5049938242444,Power supply instability,False
INC_ATM_0155_20260104003000,ATM_0155,printer,paper_jam,2026-01-04 00:30:00,2026-01-04 02:55:00,medium,FLM,2.1160124878340363,Printer mechanism failure,False
INC_ATM_0134_20260104012500,ATM_0134,card_reader,card_jam,2026-01-04 01:25:00,2026-01-04 04:45:00,medium,FLM,3.013593285630422,Card reader sensor malfunction,False
INC_ATM_0167_20260104013000,ATM_0167,network,connectivity_loss,2026-01-04 01:30:00,2026-01-04 04:00:00,high,FLM,1.970835766717923,Network connectivity issue,False
INC_ATM_0038_20260104013500,ATM_0038,dispenser,motor_failure,2026-01-04 01:35:00,2026-01-04 03:55:00,high,FLM,2.0981346265430236,Mechanical wear in dispenser,False
INC_ATM_0124_20260104015000,ATM_0124,card_reader,reader_malfunction,2026-01-04 01:50:00,2026-01-04 03:35:00,low,FLM,1.471732725202613,Card reader sensor malfunction,False
INC_ATM_0171_20260104050000,ATM_0171,software,os_error,2026-01-04 05:00:00,2026-01-04 07:30:00,low,FLM,2.3319627858154837,Software exception,False
INC_ATM_0023_20260104054000,ATM_0023,thermal,fan_failure,2026-01-04 05:40:00,2026-01-04 07:35:00,medium,FLM,1.5567111521331505,Thermal management failure,False
INC_ATM_0141_20260104054500,ATM_0141,dispenser,pick_failure,2026-01-04 05:45:00,2026-01-04 13:45:00,medium,SLM,7.755625824377536,Mechanical wear in dispenser,False
INC_ATM_0172_20260104080000,ATM_0172,printer,cutter_failure,2026-01-04 08:00:00,2026-01-04 09:45:00,low,FLM,1.4925225969206024,Printer mechanism failure,False
INC_ATM_0004_20260104080500,ATM_0004,printer,cutter_failure,2026-01-04 08:05:00,2026-01-04 10:00:00,high,FLM,1.47911373252112,Printer mechanism failure,False
INC_ATM_0085_20260104083000,ATM_0085,dispenser,jam,2026-01-04 08:30:00,2026-01-04 15:20:00,medium,SLM,6.440874656699584,Mechanical wear in dispenser,False
INC_ATM_0096_20260104090000,ATM_0096,network,connectivity_loss,2026-01-04 09:00:00,2026-01-04 11:40:00,low,FLM,2.3798501142294963,Network connectivity issue,False
INC_ATM_0104_20260104094000,ATM_0104,hardware,disk_failure,2026-01-04 09:40:00,2026-01-04 20:45:00,medium,SLM,10.870457382450551,Hardware component failure,False
INC_ATM_0155_20260104094500,ATM_0155,dispenser,pick_failure,2026-01-04 09:45:00,2026-01-04 19:55:00,low,SLM,9.670994565076972,Mechanical wear in dispenser,False
INC_ATM_0125_20260104095500,ATM_0125,thermal,fan_failure,2026-01-04 09:55:00,2026-01-04 12:40:00,medium,FLM,2.257121666654218,Thermal management failure,False
INC_ATM_0123_20260104103500,ATM_0123,dispenser,transport_error,2026-01-04 10:35:00,2026-01-04 13:05:00,high,FLM,2.015267045808929,Mechanical wear in dispenser,False
INC_ATM_0021_20260104110000,ATM_0021,network,timeout,2026-01-04 11:00:00,2026-01-04 13:40:00,critical,FLM,2.1838806086845572,Network connectivity issue,False
INC_ATM_0109_20260104110500,ATM_0109,thermal,overheating,2026-01-04 11:05:00,2026-01-04 13:50:00,critical,FLM,2.3527324348561507,Thermal management failure,False
INC_ATM_0039_20260104112000,ATM_0039,thermal,overheating,2026-01-04 11:20:00,2026-01-04 13:10:00,low,FLM,1.4217422181467463,Thermal management failure,False
INC_ATM_0082_20260104112500,ATM_0082,dispenser,jam,2026-01-04 11:25:00,2026-01-04 23:15:00,high,SLM,11.440399389693352,Mechanical wear in dispenser,False
INC_ATM_0161_20260104120000,ATM_0161,dispenser,jam,2026-01-04 12:00:00,2026-01-04 21:50:00,low,SLM,9.361741632252748,Mechanical wear in dispenser,False
INC_ATM_0147_20260104130500,ATM_0147,dispenser,pick_failure,2026-01-04 13:05:00,2026-01-04 15:05:00,low,FLM,1.6934740887007385,Mechanical wear in dispenser,False
INC_ATM_0059_20260104134000,ATM_0059,printer,cutter_failure,2026-01-04 13:40:00,2026-01-04 20:25:00,low,SLM,6.462987771107832,Printer mechanism failure,True
INC_ATM_0005_20260104141000,ATM_0005,card_reader,card_jam,2026-01-04 14:10:00,2026-01-05 02:40:00,medium,SLM,12.154275972050335,Card reader sensor malfunction,False
INC_ATM_0058_20260104150000,ATM_0058,thermal,cooling_system_failure,2026-01-04 15:00:00,2026-01-04 18:30:00,low,FLM,3.0920464849394786,Thermal management failure,False
INC_ATM_0156_20260104152500,ATM_0156,dispenser,motor_failure,2026-01-04 15:25:00,2026-01-04 17:25:00,low,FLM,1.7095084947764712,Mechanical wear in dispenser,False
INC_ATM_0057_20260104164000,ATM_0057,software,os_error,2026-01-04 16:40:00,2026-01-05 00:10:00,low,SLM,7.172184788981734,Software exception,False
INC_ATM_0042_20260104164500,ATM_0042,dispenser,jam,2026-01-04 16:45:00,2026-01-04 19:25:00,medium,FLM,2.1670641042816174,Mechanical wear in dispenser,False
INC_ATM_0054_20260104184000,ATM_0054,printer,paper_jam,2026-01-04 18:40:00,2026-01-04 23:40:00,medium,SLM,4.637797834385605,Printer mechanism failure,False
INC_ATM_0140_20260104184500,ATM_0140,thermal,cooling_system_failure,2026-01-04 18:45:00,2026-01-04 20:00:00,low,FLM,1.0104618448494085,Thermal management failure,False
INC_ATM_0007_20260104190000,ATM_0007,network,connectivity_loss,2026-01-04 19:00:00,2026-01-04 21:45:00,low,FLM,2.4972989493807076,Network connectivity issue,False
INC_ATM_0021_20260104201000,ATM_0021,dispenser,transport_error,2026-01-04 20:10:00,2026-01-04 23:50:00,low,FLM,3.356262205628519,Mechanical wear in dispenser,False
INC_ATM_0096_20260104203000,ATM_0096,software,driver_failure,2026-01-04 20:30:00,2026-01-04 22:20:00,medium,FLM,1.4159233116976466,Software exception,False
INC_ATM_0107_20260104204500,ATM_0107,printer,paper_jam,2026-01-04 20:45:00,2026-01-05 07:10:00,low,SLM,10.147176225634087,Printer mechanism failure,False
INC_ATM_0132_20260104214500,ATM_0132,printer,paper_jam,2026-01-04 21:45:00,2026-01-05 00:35:00,medium,FLM,2.601593895129453,Printer mechanism failure,False
INC_ATM_0079_20260104224000,ATM_0079,power,power_supply_failure,2026-01-04 22:40:00,2026-01-05 01:25:00,medium,FLM,2.3063083818927668,Power supply instability,False
INC_ATM_0067_20260104225000,ATM_0067,card_reader,reader_malfunction,2026-01-04 22:50:00,2026-01-05 01:25:00,medium,FLM,2.2034765332749875,Card reader sensor malfunction,False
INC_ATM_0093_20260105001500,ATM_0093,network,dns_failure,2026-01-05 00:15:00,2026-01-05 03:00:00,critical,FLM,2.442218187441644,Network connectivity issue,False
INC_ATM_0158_20260105001500,ATM_0158,dispenser,motor_failure,2026-01-05 00:15:00,2026-01-05 03:10:00,critical,FLM,2.564803833000645,Mechanical wear in dispenser,False
INC_ATM_0113_20260105020500,ATM_0113,software,driver_failure,2026-01-05 02:05:00,2026-01-05 04:55:00,critical,FLM,2.3035350198488955,Software exception,False
INC_ATM_0037_20260105024000,ATM_0037,card_reader,read_error,2026-01-05 02:40:00,2026-01-05 12:55:00,low,SLM,9.743850450632056,Card reader sensor malfunction,False
